Participant,asrs,condition,individual_k,consistency,trial,choice,offerI,offerD,Delay,item_k,optimal.choice,accuracy
390,2.333333333,better.delayed,0.045,1,trial1,1,29,55,20,0.045,1,1
390,2.333333333,better.delayed,0.045,1,trial2,1,30,75,15,0.1,1,1
390,2.333333333,better.delayed,0.045,1,trial3,1,10,25,15,0.1,1,1
390,2.333333333,better.delayed,0.045,1,trial4,1,10,25,6,0.25,1,1
390,2.333333333,better.delayed,0.045,1,trial5,1,23,50,19,0.061,1,1
390,2.333333333,better.delayed,0.045,1,trial6,1,14,35,5,0.3,1,1
390,2.333333333,better.delayed,0.045,1,trial7,1,32,80,10,0.15,1,1
390,2.333333333,better.delayed,0.045,1,trial8,1,41,80,21,0.045,1,1
390,2.333333333,better.delayed,0.045,1,trial9,1,22,55,15,0.1,1,1
390,2.333333333,better.delayed,0.045,1,trial10,1,11,30,5,0.35,1,1
390,2.333333333,better.delayed,0.045,1,trial11,1,30,75,20,0.075,1,1
390,2.333333333,better.delayed,0.045,1,trial12,1,18,35,21,0.045,1,1
390,2.333333333,better.delayed,0.045,1,trial13,1,20,50,6,0.25,1,1
390,2.333333333,better.delayed,0.045,1,trial14,1,38,85,15,0.082,1,1
390,2.333333333,better.delayed,0.045,1,trial15,1,43,85,16,0.061,1,1
390,2.333333333,better.delayed,0.045,1,trial16,1,14,35,10,0.15,1,1
390,2.333333333,better.delayed,0.045,1,trial17,1,32,80,5,0.3,1,1
390,2.333333333,better.delayed,0.045,1,trial18,1,12,30,24,0.061,1,1
390,2.333333333,better.delayed,0.045,1,trial19,1,12,30,18,0.082,1,1
390,2.333333333,better.delayed,0.045,1,trial20,1,25,75,8,0.25,1,1
390,2.333333333,better.delayed,0.045,1,trial21,1,24,60,20,0.075,1,1
390,2.333333333,better.delayed,0.045,1,trial22,1,24,60,5,0.3,1,1
390,2.333333333,better.delayed,0.045,1,trial23,1,10,25,20,0.075,1,1
390,2.333333333,better.delayed,0.045,1,trial24,1,20,55,5,0.35,1,1
390,2.333333333,better.delayed,0.045,1,trial25,1,25,60,17,0.082,1,1
390,2.333333333,better.delayed,0.045,1,trial26,1,20,50,10,0.15,1,1
390,2.333333333,better.delayed,0.045,1,trial27,1,50,85,2,0.35,1,1
392,2,better.immediate,0.0025,1,trial1,0,53,55,220,0.00016,0,1
392,2,better.immediate,0.0025,1,trial2,0,67,75,117,0.001,0,1
392,2,better.immediate,0.0025,1,trial3,0,22,25,136,0.001,0,1
392,2,better.immediate,0.0025,1,trial4,0,20,25,140,0.0018,0,1
392,2,better.immediate,0.0025,1,trial5,0,49,50,117,0.0002,0,1
392,2,better.immediate,0.0025,1,trial6,0,30,35,80,0.0021,0,1
392,2,better.immediate,0.0025,1,trial7,0,68,80,118,0.0015,0,1
392,2,better.immediate,0.0025,1,trial8,0,78,80,165,0.00016,0,1
392,2,better.immediate,0.0025,1,trial9,0,49,55,120,0.001,0,1
